component_id	size	num_edges	n_species	species_entropy	species_entropy_norm	high_z_frac	max_z	top10_mean_z
1394	6	8	3	1.098612	1.000000	0.000000	-0.236940	-0.361698
1395	6	8	3	1.098612	1.000000	0.000000	0.417249	-0.050460
1396	6	8	4	1.329661	0.959148	0.000000	-0.666469	-0.804924
1397	6	8	3	1.098612	1.000000	0.000000	0.232203	-0.055935
1398	6	7	3	1.098612	1.000000	0.000000	-0.463832	-0.629441
1399	6	12	3	1.098612	1.000000	0.000000	2.857981	2.662324
1400	6	5	4	1.329661	0.959148	0.000000	-0.363539	-0.705154
1401	6	8	3	1.098612	1.000000	0.000000	-0.630527	-0.778079
1402	6	11	3	1.098612	1.000000	0.000000	-0.294333	-0.509917
1403	6	12	3	1.098612	1.000000	0.000000	0.739822	0.370123
1404	6	8	3	1.098612	1.000000			
1405	6	5	3	1.098612	1.000000			
1406	6	12	3	1.098612	1.000000	0.000000	1.111678	0.637814
1407	6	9	5	1.560710	0.969724	0.000000	0.852155	-0.016694
1408	6	8	3	1.098612	1.000000	0.000000	-0.112436	-0.397043
1409	6	12	3	1.098612	1.000000	0.000000	0.444686	-0.067111
1410	6	12	3	1.098612	1.000000	0.000000	-0.290105	-0.588164
1411	6	9	3	1.098612	1.000000	0.000000	0.286837	-0.044748
1412	6	12	3	1.098612	1.000000	0.000000	0.736039	0.575116
1413	6	8	3	1.098612	1.000000	0.000000	-0.383445	-0.766847
1414	6	12	3	1.098612	1.000000	0.000000	0.623479	0.212583
1415	6	12	3	1.098612	1.000000	0.000000	-0.060597	-0.360639
1416	6	8	3	1.098612	1.000000	0.000000	-0.635146	-0.774749
1417	6	12	3	1.098612	1.000000	0.000000	0.304603	-0.358475
1418	6	8	3	1.098612	1.000000	0.000000	-0.228925	-0.567350
1419	6	10	3	1.098612	1.000000	0.000000	0.389911	0.019645
1420	6	12	3	1.098612	1.000000	0.000000	0.914008	0.209217
1421	6	8	4	1.329661	0.959148	0.000000	0.384260	0.125726
1422	6	12	3	1.098612	1.000000	0.000000	2.214969	1.584917
1423	6	8	3	1.098612	1.000000			
1424	6	10	3	1.098612	1.000000	0.000000	0.209406	-0.258019
1425	6	8	3	1.098612	1.000000	0.000000	1.913615	0.956807
1426	6	8	3	1.098612	1.000000	0.000000	-0.015489	-0.361940
1427	6	12	3	1.098612	1.000000	0.000000	1.550124	0.687643
1428	6	8	3	1.098612	1.000000	0.000000	0.589542	-0.173215
1429	6	12	3	1.098612	1.000000	0.000000	0.766796	0.067464
1430	6	10	3	1.098612	1.000000	0.000000	-0.027524	-0.486582
1431	6	12	3	1.098612	1.000000	0.000000	-0.398103	-0.491764
