species_binomial	organism_name	assembly_accession	taxid	species_taxid	assembly_level	version_status	refseq_category	ftp_path	protein_faa_url
Bacteroides fragilis	Bacteroides fragilis YCH46	GCF_000009925.1	295405	817	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/925/GCF_000009925.1_ASM992v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/925/GCF_000009925.1_ASM992v1/GCF_000009925.1_ASM992v1_protein.faa.gz
Bacteroides fragilis	Bacteroides fragilis NCTC 9343	GCF_000025985.1	272559	817	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/985/GCF_000025985.1_ASM2598v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/985/GCF_000025985.1_ASM2598v1/GCF_000025985.1_ASM2598v1_protein.faa.gz
Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron VPI-5482	GCF_000011065.1	226186	818	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/065/GCF_000011065.1_ASM1106v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/065/GCF_000011065.1_ASM1106v1/GCF_000011065.1_ASM1106v1_protein.faa.gz
Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	GCF_014131755.1	818	818	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/131/755/GCF_014131755.1_ASM1413175v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/131/755/GCF_014131755.1_ASM1413175v1/GCF_014131755.1_ASM1413175v1_protein.faa.gz
Bifidobacterium longum	Bifidobacterium longum NCC2705	GCF_000007525.1	206672	216816	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/525/GCF_000007525.1_ASM752v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/525/GCF_000007525.1_ASM752v1/GCF_000007525.1_ASM752v1_protein.faa.gz
Bifidobacterium longum	Bifidobacterium longum subsp. longum JCM 1217	GCF_000196555.1	565042	216816	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/555/GCF_000196555.1_ASM19655v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/555/GCF_000196555.1_ASM19655v1/GCF_000196555.1_ASM19655v1_protein.faa.gz
Bordetella pertussis	Bordetella pertussis B1917	GCF_000193595.2	743277	520	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/595/GCF_000193595.2_ASM19359v3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/595/GCF_000193595.2_ASM19359v3/GCF_000193595.2_ASM19359v3_protein.faa.gz
Bordetella pertussis	Bordetella pertussis	GCF_004008975.1	520	520	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/008/975/GCF_004008975.1_ASM400897v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/008/975/GCF_004008975.1_ASM400897v1/GCF_004008975.1_ASM400897v1_protein.faa.gz
Brucella melitensis	Brucella melitensis bv. 1 str. 16M	GCF_000007125.1	224914	29459	Complete Genome	latest	reference genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/125/GCF_000007125.1_ASM712v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/125/GCF_000007125.1_ASM712v1/GCF_000007125.1_ASM712v1_protein.faa.gz
Brucella melitensis	Brucella melitensis ATCC 23457	GCF_000022625.1	546272	29459	Complete Genome	latest	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/625/GCF_000022625.1_ASM2262v1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/625/GCF_000022625.1_ASM2262v1/GCF_000022625.1_ASM2262v1_protein.faa.gz
